tank_code,dip_mm,litres
T2,439,1647
T2,440,1653
T2,441,1659
T2,442,1665
T2,443,1671
T2,444,1676
T2,445,1682
T2,446,1688
T2,447,1694
T2,448,1700
T2,449,1706
T2,450,1712
T2,451,1718
T2,452,1724
T2,453,1729
T2,454,1735
T2,455,1741
T2,456,1747
T2,457,1753
T2,458,1759
T2,459,1765
T2,460,1771
T2,461,1776
T2,462,1782
T2,463,1788
T2,464,1794
T2,465,1800
T2,466,1806
T2,467,1812
T2,468,1818
T2,469,1824
T2,470,1829
T2,471,1835
T2,472,1841
T2,473,1847
T2,474,1853
T2,475,1859
T2,476,1865
T2,477,1871
T2,478,1876
T2,479,1882
T2,480,1888
T2,481,1894
T2,482,1900
T2,483,1906
T2,484,1912
T2,485,1918
T2,486,1924
T2,487,1929
T2,488,1935
T2,489,1941
T2,490,1947
T2,491,1953
T2,492,1959
T2,493,1965
T2,494,1971
T2,495,1976
T2,496,1982
T2,497,1988
T2,498,1994
T2,499,2000
T2,500,2006
T2,501,2013
T2,502,2019
T2,503,2025
T2,504,2031
T2,505,2038
T2,506,2044
T2,507,2050
T2,508,2056
T2,509,2063
T2,510,2069
T2,511,2075
T2,512,2081
T2,513,2088
T2,514,2094
T2,515,2100
T2,516,2106
T2,517,2113
T2,518,2119
T2,519,2125
T2,520,2131
T2,521,2138
T2,522,2144
T2,523,2150
T2,524,2156
T2,525,2163
T2,526,2169
T2,527,2175
T2,528,2181
T2,529,2188
T2,530,2194
T2,531,2200
T2,532,2206
T2,533,2213
T2,534,2219
T2,535,2225
T2,536,2231
T2,537,2238
T2,538,2244
T2,539,2250
T2,540,2256
T2,541,2263
T2,542,2269
T2,543,2275
T2,544,2281
T2,545,2288
T2,546,2294
T2,547,2300
T2,548,2306
T2,549,2313
T2,550,2319
T2,551,2325
T2,552,2331
T2,553,2338
T2,554,2344
T2,555,2350
T2,556,2356
T2,557,2363
T2,558,2369
T2,559,2375
T2,560,2381
T2,561,2388
T2,562,2394
